Date,Building,Wall,SpiderID,Sex,SpiderLength,CephalothoraxWidth,AbdomenWidth,PreySize,PreyColor,PreyStripes,PreySpecies,TimeStart,TimeStop,TempStart,TempStop,TempUnit,Notes
5.29.2020,Lubber,North,5292020_Lubber_North_01,F,7.679,1.954,2.65,Medium,Gray,Stripe,MediumGrayStriped,13:50:00,14:06:00,83.4,83.4,F,
5.29.2020,Lubber,North,5292020_Lubber_North_02,F,6.191,1.901,2.156,Medium,Gray,Stripe,MediumGrayStriped,13:59:00,14:21:00,82.7,82.7,F,
5.29.2020,Lubber,North,5292020_LubberNorth_03,F,5.121,1.505,1.699,Medium,Gray,Stripe,MediumGrayStriped,14:09:00,14:30:00,82.9,84.3,F,
5.31.2020,TractorBarn,North,5312020_TractorBarn_North_09,F,5.296,1.515,2.012,Small,Black,NoStripe,SmallBlack,9:41:00,10:11:00,78.4,NA,F,
5.31.2020,NA,NA,5312020_Detection_06,F,6.652,1.829,2.291,Small,Gray,NoStripe,SmallGray,13:11:00,13:16:00,89,NA,F,May have scared when checking. May have dropped prey early.
5.31.2020,NA,NA,5312020_Detection_08,F,5.656,1.745,2.048,Small,Gray,NoStripe,SmallGray,14:17:00,14:27:00,98.4,NA,F,
5.29.2020,DumpsterHouse,NW,Incidental from survey,F,6.643,1.748,2.5,Small,Gray,Stripe,SmallGrayStriped,9:52:00,10:12:00,78.2,NA,F,
6.1.2020,NA,NA,612020_Detection_04,F,4.989,1.564,1.884,Small,Black,NoStripe,SmallBlack,13:40:00,13:53:00,80.9,NA,F,
6.1.2020,NA,NA,612020_Detection_05,F,7.85,2.14,3.2,Large,Gray,Stripe,LargeGrayStripe,13:51:00,14:22:00,88.7,NA,F,
6.1.2020,NA,NA,612020_Detection_04,F,4.989,1.564,1.884,Small,Black,NoStripe,SmallBlack,13:54:00,14:21:00,82.4,NA,F,
6.1.2020,NA,NA,612020_Detection_06,F,7.415,1.862,3.002,Small,Black,NoStripe,SmallBlack,14:03:00,14:11:00,78.4,NA,F,
6.1.2020,NA,NA,612020_Detection_07,F,2.912,0.971,1.004,Medium,Gray,Stripe,MediumGrayStriped,14:59:00,15:37:00,89.2,NA,F,
6.1.2020,NA,NA,612020_Detection_09,F,7.009,1.791,2.341,Medium,Gray,Stripe,MediumGrayStriped,15:26:00,15:33:00,94.1,NA,F,
6.1.2020,NA,NA,612020_Detection_10,M,4.895,1.46,1.736,Small,Gray,Stripe,SmallGrayStriped,15:35:00,15:46:00,92.3,NA,F,
6.1.2020,NA,NA,612020_Detection_11,M,6.1,1.819,2.126,Medium,Gray,Stripe,MediumGrayStriped,15:41:00,16:04:00,89.9,NA,F,
6.1.2020,NA,NA,612020_Detection_12,M,6.372,2.025,1.958,Medium,Gray,Stripe,MediumGrayStriped,15:44:00,15:56:00,93.2,NA,F,
6.1.2020,NA,NA,612020_Detection_13,F,6.057,1.743,2.435,Medium,Gray,Stripe,MediumGrayStriped,15:56:00,16:28:00,92.4,NA,F,
6.1.2020,NA,NA,612020_Detection_14,M,5.131,1.558,1.68,Medium,Gray,Stripe,MediumGrayStriped,16:17:00,16:28:00,91.2,NA,F,
6.3.2020,Lubber,SouthWest,632020_Lubber_SouthWest_03,F,6.326,1.759,2.242,Medium,Gray,Stripe,MediumGrayStriped,9:16:00,9:59:00,26.8,NA,C,
6.3.2020,Lubber,SouthWest,632020_Lubber_SouthWest_03,F,6.326,1.759,2.242,Small,Black,NoStripe,SmallBlack,9:59:00,10:03:00,28.6,NA,C,
6.3.2020,Lubber,SouthWest,632020_Lubber_SouthWest_03,F,6.326,1.759,2.242,Small,Gray,Stripe,SmallGrayStriped,10:03:00,10:09:00,28.4,NA,C,
6.3.2020,NA,NA,632020_Detection_01,F,6.738,1.887,2.423,Medium,Gray,Stripe,MediumGrayStriped,9:47:00,10:13:00,27.2,NA,C,
6.3.2020,NA,NA,632020_Detection_02,F,5.986,1.862,2.265,Large,Gray,Stripe,LargeGrayStripe,10:11:00,11:05:00,33.2,NA,C,
6.3.2020,NA,NA,632020_Detection_03,F,5.539,1.958,2.158,Medium,Gray,Stripe,MediumGrayStriped,10:15:00,10:34:00,33,NA,C,
