Date,SurveyCode,PreySize,PreyColor,PreyStripes,Number
5.29,5.29BHWAM,Medium,Gray,Stripe,1
5.31,5.31LUNEAM,Small,Gray,Stripe,28
5.31,5.31LUNEAM,Medium,Gray,Stripe,13
5.31,5.31LUNEAM,Medium,Gray,No stripe,1
5.31,5.31LUNWAM,Small,Gray,Stripe,21
5.31,5.31LUNWAM,Medium,Gray,Stripe,12
5.31,5.31LUNWAM,Small,Black,Stripe,2
5.31,5.31LUWAM,Small,Gray,Stripe,9
5.31,5.31LUWAM,Medium,Gray,Stripe,10
5.31,5.31LUWAM,Large,Gray,Stripe,3
5.31,5.31TBNAM,Small,Gray,Stripe,1
5.31,5.31TBNAM,Medium,Gray,Stripe,6
5.31,5.31TBNAM,Large,Gray,Stripe,1
5.31,5.31TBNAM,Small,Black,No stripe,1
5.31,5.31GFNAM,Small,Gray,Stripe,11
5.31,5.31GFNAM,Medium,Gray,Stripe,4
5.31,5.31GFNAM,Large,Gray,Stripe,2
5.31,5.31GFNAM,Small,Gray,No stripe,2
5.31,5.31SBNAM,Small,Gray,Stripe,7
5.31,5.31SBNAM,Small,Gray,No stripe,1
5.31,5.31SBNAM,Medium,Gray,Stripe,5
5.31,5.31SBNAM,Large,Gray,Stripe,1
5.31,5.31SBNAM,Small,Black,Stripe,1
5.31,5.31GFSAM,Small,Gray,Stripe,2
5.31,5.31GFSAM,Small,Gray,No stripe,2
5.31,5.31GFSAM,Small,Black,Stripe,1
5.31,5.31GFSAM,Small,Black,No stripe,1
5.31,5.31SBWAM,Small,Gray,Stripe,10
5.31,5.31SBWAM,Small,Gray,No stripe,3
5.31,5.31SBWAM,Medium,Gray,Stripe,8
5.31,5.31SBWAM,Small,Black,Stripe,8
5.31,5.31SBWAM,Small,Black,No stripe,1
5.31,5.31SBWAM,Medium,Black,Stripe,1
5.31,5.31DHNWAM,Small,Gray,Stripe,7
5.31,5.31DHNWAM,Small,Gray,No stripe,1
5.31,5.31DHNWAM,Medium,Gray,Stripe,8
5.31,5.31DHNWAM,Small,Black,Stripe,5
5.31,5.31DHNWAM,Small,Black,No stripe,2
5.31,5.31DHNWAM,Medium,Black,Stripe,4
5.3,5.30PPNPM,Small,Gray,Stripe,2
5.3,5.30PPNPM,Large,Gray,Stripe,1
5.3,5.30GFSPM,Small,Gray,Stripe,3
5.3,5.30GFSPM,Small,Black,No stripe,1
5.3,5.30TBNPM,Small,Gray,Stripe,5
5.3,5.30TBNPM,Small,Gray,No stripe,1
5.3,5.30TBNPM,Medium,Gray,Stripe,2
5.3,5.30SBWAM,Small,Gray,Stripe,3
5.3,5.30SBWAM,Medium,Gray,Stripe,1
5.3,5.30SBWAM,Large,Gray,Stripe,1
5.3,5.30SBWAM,Small,Black,Stripe,1
5.3,5.30SBNAM,Small,Gray,Stripe,1
