Observer,Survey,SmalltoMedium,MediumtoLarge,LargetoMedium,MediumtoSmall,TotalSmall,TotalMedium,TotalLarge
KEC,6.6LUNWAM,4,2,0,0,7,7,3
KEC,6.6SBNAM,4,0,0,0,4,1,0
KEC,6.6GFNPM,1,0,0,0,5,0,0
KEC,6.6GLNPM,0,0,0,0,1,1,1
KEC,6.6TBNPM,1,1,0,0,3,1,0
JPD,6.6GFNAM,0,0,0,0,2,0,2
JPD,6.6DHNWAM,3,0,0,0,4,0,0
JPD,6.6GLNAM,4,0,0,0,16,0,4
JPD,6.7GFNAM,0,0,0,0,2,0,0
JPD,6.7TBNAM,1,0,0,0,2,0,0
JPD,6.7GLNAM,0,0,0,0,3,0,0
KEC,6.7LUNWAM,0,1,0,0,0,1,0
KEC,6.7LUSEAM,0,1,0,0,0,1,0
KEC,6.7SBNAM,0,0,0,0,0,0,1
AS,6.6LUWAM,6,8,0,0,10,11,0
AS,6.6LUSWAM,3,0,0,0,5,0,1
SU,6.6LUNEAM,3,0,0,0,7,2,2
SU,6.7LUSWAM,0,1,0,0,0,1,1
SU,6.7LUNEAM,0,2,0,0,0,2,1
JPD,6.8GFNAM,2,0,0,0,2,0,0
JPD,6.8DHNWAM,8,0,0,0,9,0,0
JPD,6.8GLNAM,8,0,0,0,8,0,0
KEC,6.8SBNAM,0,0,0,0,0,2,0
KEC,6.8KFNAM,0,0,0,0,0,1,0
KEC,6.8TBNWAM,1,0,0,0,1,3,0
SU,6.8LUEAM,1,1,0,0,1,2,0
SU,6.8LUSEAM,12,0,0,0,14,4,0
SU,6.8LUSWAM,22,0,0,0,29,5,0
AS,6.8LUNWAM,6,0,0,0,6,1,0
JPD,6.11GFNAM,3,0,0,0,7,0,4
KEC,6.11LUSWAM,2,1,0,0,2,4,0
KEC,6.11SBWAM,3,0,0,0,4,15,0
KEC,6.11TBNAM,1,0,0,0,2,3,0
KEC,6.10SBNPM,2,0,0,0,3,3,0
KEC,6.10LUNEPM,4,0,0,0,5,5,2
KEC,6.12SBWAM,1,0,0,0,3,1,0
KEC,6.11LUWPM,2,1,0,0,4,3,3
KEC,6.11SBNPM,3,0,0,0,4,3,0
KEC,6.12DHNWAM,8,0,0,0,13,12,2
KEC,6.12TBNAM,0,0,0,0,1,0,0
KEC,6.12LUSEAM,2,0,0,0,3,10,0
KEC,6.12LUNWAM,7,0,0,0,11,31,0
KEC,6.12GFNPM,2,0,0,0,8,3,1
KEC,6.12LUWAM,7,1,0,0,13,11,1
KEC,6.12TBNPM,3,1,0,0,8,7,2
KEC,6.12GLNPM,2,1,0,0,3,8,2
KEC,6.13GFNPM,2,1,0,0,5,5,1
KEC,6.13GLNPM,1,1,0,0,3,2,2
KEC,6.13TBNAM,4,0,0,0,10,5,0
KEC,6.13SBNPM,2,0,0,0,6,5,3
KEC,6.13LUSEAM,1,0,0,0,1,10,0
KEC,6.13LUNWAM,11,1,0,0,16,35,1
KEC,6.12LUEPM,5,0,0,0,8,0,0
KEC,6.14SBWAM,0,0,0,0,2,0,0
KEC,6.14GFNAM,0,2,0,0,1,2,0
KEC,6.14LUWAM,0,0,0,0,0,4,0
KEC,6.14TBNAM,1,0,0,0,4,0,0
KEC,6.14LUSEAM,0,1,0,0,0,1,0
JPD,6.14DHNWAM,17,0,0,0,27,0,2
JPD,6.14GLNAM,0,0,0,0,0,0,1
KEC,Photographs,6,6,0,0,32,52,18
JPD,Photographs,25,0,0,0,34,0,5
SU,Photographs,18,4,0,0,30,11,4
AS,Photographs,19,3,0,0,29,9,1
