SurveyCode,Date,Building,Wall,TimeStart,TimeFinish,TempStartF,TempStartC,TempStart,OBS,,,
5.29BHWAM,5.29,BH,W,11:15:00,11:40,72.6,,22.6,AS,,,BH = Bath House
5.31DHNWAM,5.31,DH,NW,10:00:00,10:20,77.3,,25.2,AS,,,LU = Lubber
5.30DHNWAM,5.3,DH,NW,9:54:00,10:05,69.6,,20.9,JPD,,,TB = Tractor Barn
5.29DHNWAM,5.29,DH,NW,9:30:00,9:55,73.9,,23.3,JPD,,,GF = Gainesforth
5.31GFNAM,5.31,GF,N,10:29:00,10:44,68.3,,20.2,JPD,,,SB = Swallow Barn
5.29GFNAM,5.29,GF,N,10:55:00,11:20,71.6,,22,SU,,,PP = Prickly Pear
5.31GFSAM,5.31,GF,S,10:30:00,10:49,108.4,,42.5,SU,,,DH = Dumpster House
5.30GFSPM,5.3,GF,S,15:10:00,15:20,81.5,,27.5,AS,,,MI = Midge
5.29GFSAM,5.29,GF,S,11:05:00,11:17,96.4,,35.8,JPD,,,GL = Goodall Lodge
5.31LUNEAM,5.31,LU,NE,10:55:00,11:15,71.3,,21.8,AS,,,
5.31LUNWAM,5.31,LU,NW,11:15:00,11:30,66.9,,19.4,AS,,,
5.31LUWAM,5.31,LU,W,10:56:00,11:14,68.9,,20.5,KEC,,,
5.29MINPM,5.29,MI,N,12:55:00,13:20,78.8,,26,AS,,,
5.30PPNPM,5.3,PP,N,15:19:00,15:42,76.9,,24.9,SU,,,
5.29PPNPM,5.29,PP,N,12:46:00,13:05,80.3,,26.8,SU,,,
5.30PPNAM,5.3,PP,N,9:57:00,10:15,76.6,,24.8,SU,,,
5.30SBEPM,5.3,SB,E,14:30:00,14:51,80.9,,27.2,SU,,,
5.31SBNAM,5.31,SB,N,9:48:00,10:04,71.4,,21.9,SU,,,
5.30SBNAM,5.3,SB,N,9:38:00,9:52,63.3,,17.4,SU,,,
5.30SBNPM,5.3,SB,N,14:11:00,14:27,75.2,,24,SU,,,
5.31SBWAM,5.31,SB,W,10:05:00,10:24,82.5,,28.1,SU,,,
5.30SBWAM,5.3,SB,W,9:17:00,9:35,68.1,,20.1,SU,,,
5.29SBWPM,5.29,SB,W,12:32:00,12:38,83.2,,28.4,JPD,,,
5.31TBNAM,5.31,TB,N,9:31:00,9:53,93.9,,34.4,KEC,,,
5.30TBNPM,5.3,TB,N,13:27:00,13:58,76.4,,24.7,KEC,,,
5.30GFNAM,5.3,GF,N,10:40:00,11:05,60.3,,15.7,AS,,,
5.30MINAM,5.3,MI,N,9:20:00,9:35,62.1,,15.9,AS,,,
5.30LUSWAM,5.3,LU,SW,10:27:00,10:40,70.7,,21.5,KEC,,,
5.30LUNWAM,5.3,LU,NW,9:48:00,10:09,68.4,,20.2,KEC,,,
5.30LUNEAM,5.3,LU,NE,9:27:00,9:45,62.8,,17.1,KEC,,,
5.30GFSAM,5.3,GF,S,10:15:00,10:33,87.4,,30.8,JPD,,,
6.1GLNAM,6.1,GL,N,10:28:00,10:54,74,,23.3,JPD,,,
6.1SBWAM,6.1,SB,W,9:29:00,9:39,86.3,,30.2,JPD,,,
6.1SBNAM,6.1,SB,N,9:43:00,9:54,80.8,,27.1,JPD,,,
6.1DHNWAM,6.1,DH,NW,10:05:00,10:21,82,,27.8,JPD,,,
6.1LUEAM,6.1,LU,E,9:00:00,9:20,102.1,,39,KEC,,,
6.1LUSEAM,6.1,LU,SE,9:21:00,9:35,86.6,,30.3,KEC,,,
6.1LUWAM,6.1,LU,W,10:00:00,10:17,76,,24.5,KEC,,,
6.1LUNWAM,6.1,LU,NW,9:37:00,9:57,84.3,,29,KEC,,,
6.1LUSWAM,6.1,LU,SW,9:24:00,9:39,84.9,,29.4,SU,,,
6.1TBNAM,6.1,TB,N,11:08:00,11:33,81.7,,27.6,KEC,,,
6.1GFNAM,6.1,GF,N,10:30:00,10:51,78.4,,25.8,KEC,,,
6.2GLNAMa,6.2,GL,N,9:27:00,9:51,,27.3,27.3,JPD,,,
6.2GFSAM,6.2,GF,S,8:44:00,8:55,97.7,,36.5,JPD,,,
6.2GFNAMa,6.2,GF,N,9:09:00,9:43,,28.9,28.9,JPD,,,
6.1LUNEAM,6.1,LU,NE,9:30:00,9:50,88.7,,31.5,AS,,,
6.2TBNAM,6.2,TB,N,10:05:00,10:28,,33.9,33.9,JPD,,,
6.2GFNAMb,6.2,GF,N,10:50:00,,,30.6,30.6,KEC,,,
6.2GLNAMb,6.2,GL,N,10:18:00,10:40,,31.8,31.8,KEC,,,
6.2LUNWAM,6.2,LU,NW,9:52:00,10:07,90.8,,32.7,SU,,,
6.2LUSWAM,6.2,LU,SW,9:34:00,9:50,89.2,,31.8,SU,,,
6.2LUNEAM,6.2,LU,NE,9:44:00,,,33.7,33.7,KEC,,,
6.2SBWAM,6.2,SB,W,10:07:00,10:17,90.6,,32.5,SU,,,
6.2LUEAM,6.2,LU,E,9:17:00,9:32,98.8,,37.1,SU,,,
6.2LUSEAM,6.2,LU,SE,9:18:00,9:40,,33.1,33.1,KEC,,,
6.3GLNAM,6.3,GL,N,8:31:00,8:50,,20.8,20.8,JPD,,,
6.3GFNAM,6.3,GF,N,9:44:00,10:07,,23.8,23.8,JPD,,,
6.3GLNPM,6.3,GL,N,14:40:00,15:04,,30.6,30.6,KEC,,,
6.3LUSWAM,6.3,LU,SW,9:10:00,9:22,,23.5,23.5,KEC,,,
6.3GFSAM,6.3,GF,S,9:51:00,10:02,98.7,,37.1,SU,,,
6.3LUSEAM,6.3,LU,SE,9:01:00,9:12,74.1,,23.4,SU,,,
6.3GFNPM,6.3,GF,N,14:17:00,14:37,,32.4,32.4,KEC,,,
6.3TBNPM,6.3,TB,N,15:08:00,15:26,,34.7,34.7,KEC,,,
6.3TBNAM,6.3,TB,N,8:40:00,9:02,,30.4,30.4,KEC,,,
6.3LUEAM,6.3,LU,E,9:00:00,9:20,89.1,,31.7,AS,,,
6.3LUNWAM,6.3,LU,NW,9:25:00,9:40,79.2,,26.2,AS,,,
6.3DHNWAM,6.3,DH,NW,9:50:00,10:10,83.6,,28.7,AS,,,
6.3LUNEAM,6.3,LU,NE,9:13:00,9:29,79.5,,26.4,SU,,,
6.4GLNAM,6.4,GL,N,10:13:00,10:35,,22,22,JPD,,,
6.4DHNWAM,6.4,DH,NW,9:12:00,9:29,,26.1,26.1,JPD,,,
6.4GFNAM,6.4,GF,N,9:54:00,10:09,,25.1,25.1,JPD,,,
6.4LUSWAM,6.4,LU,SW,10:08:00,10:28,,28.7,28.7,KEC,,,
6.4LUNWAM,6.4,LU,NW,9:55:00,,79.1,,26.2,SU,,,
