Building Name,Abbreviation,Wall Direction,Total Area (cm^2),Total Area (m^2)
Gainesforth,GF,S,245870.5,24.59
Gainesforth,GF,N,131040,13.1
Goodall,GL,N,225285.5,22.53
Dumpster Barn,DB,NW,128813,12.88
Dumpster Barn,DB,SE,128813,12.88
Tractor Barn,TB,NW,165633,16.56
Lubber,LU,W,205334,20.53
Lubber,LU,NW,293930,14.7
Lubber,LU,NE,,14.7
Lubber,LU,SE,318021,15.9
Lubber,LU,SW,,15.9
Lubber,LU,E,199440,19.94
Bathhouse,BH,W,NEI,NA
Swallow Barn,SB,W,126540,12.65
Swallow Barn,SB,N,108500,10.85
Swallow Barn,SB,E,173328,17.33
Killifish,KF,N,173336,17.33
Midge,MI,N,148944,14.89
Prickly Pear,PP,N,105436,10.54
