"","SurveyCode","Date","Building","Wall","NumberFeed","NumberPred","ProportionFeed","SpiderLength","ZebraMale","ZebraFemale","ZebraJuvenile","Bold","Unknown","Tan","BHLB","TotalOtherSpider","TempStart","BuildingWall","TotalArea_m2","X","detection_est","DetectionEst","NumberMidges","TotalSpiderFeed","JuvenileDens","FemaleDens","MaleDens"
"1","5.30GFNAM",5.3,"GF","N",1,1,1,3.748,3,6,1,0,0.0763358778625954,0.0763358778625954,0,0.152671755725191,15.7222222222222,"GFN",13.1,1,0.0380872801824157,0.0380872801824157,0.99236641221374,7,0.0763358778625954,0.458015267175573,0.229007633587786
"2","5.30LUNWAM",5.3,"LU","NW",0,2,0,3.3805,1,4,2,0,0,0,0,0,20.2222222222222,"LUNW",14.7,2,0.0292925061857906,0.0292925061857906,1.97278911564626,3,0.136054421768707,0.272108843537415,0.0680272108843537
"3","5.30MINAM",5.3,"MI","N",1,1,1,3.79401648148148,0,0,1,0,0,0,0,0,16.7222222222222,"MIN",14.89,3,0.0365385631423411,0.0365385631423411,0.604432505036938,1,0.0671591672263264,0,0
"4","5.30PPNPM",5.3,"PP","N",1,2,0.5,3.184,1,2,2,0,0,0,0,0,24.9444444444444,"PPN",10.54,4,0.037276189233759,0.037276189233759,0.47438330170778,2,0.189753320683112,0.189753320683112,0.094876660341556
"5","5.30SBWAM",5.3,"SB","W",0,1,0,3.192,1,0,1,0,0.0790513833992095,0,0,0.0790513833992095,20.0555555555556,"SBW",12.65,5,0.0323367823571097,0.0323367823571097,0.553359683794466,1,0.0790513833992095,0,0.0790513833992095
"6","5.31DHNWAM",5.31,"DH","NW",1,1,1,3.257,3,8,1,0,0,0,0,0,25.1666666666667,"DHNW",12.88,6,0.0287871447514804,0.0287871447514804,2.63975155279503,7,0.077639751552795,0.62111801242236,0.232919254658385
"7","5.31GFNAM",5.31,"GF","N",1,1,1,3.79401648148148,1,4,1,0,0,0,0,0,20.1666666666667,"GFN",13.1,7,0.0257007997814264,0.0257007997814264,1.75572519083969,4,0.0763358778625954,0.305343511450382,0.0763358778625954
"8","5.31LUNWAM",5.31,"LU","NW",2,2,1,3.86,2,2,2,0,0,0,0,0,19.3888888888889,"LUNW",14.7,8,0.034289849148008,0.034289849148008,2.58503401360544,3,0.136054421768707,0.136054421768707,0.136054421768707
"9","5.31SBNAM",5.31,"SB","N",0,2,0,3.568,4,5,2,0,0,0,0.0921658986175115,0.0921658986175115,21.8888888888889,"SBN",10.85,9,0.0287940847108512,0.0287940847108512,1.65898617511521,3,0.184331797235023,0.460829493087558,0.368663594470046
"10","5.31SBWAM",5.31,"SB","W",2,2,1,4.0695,1,2,2,0,0,0,0,0,28.0555555555556,"SBW",12.65,10,0.0207779066207213,0.0207779066207213,2.84584980237154,5,0.158102766798419,0.158102766798419,0.0790513833992095
